10.521584,105.125896,AnGiang
10.541739,107.242997,BaRiaVungTau
9.294086,105.727779,BacLieu
21.281993,106.197095,BacGiang
22.147511,105.830297,BacKan
21.186087,106.076429,BacNinh
10.241123,106.375843,BenTre
11.173433,106.672101,BinhDuong
13.782980,109.219663,BinhDinh
11.751189,106.723463,BinhPhuoc
10.943670,108.171682,BinhThuan
9.176776,105.152420,CaMau
10.045162,105.746857,CanTho
22.665439,106.257022,CaoBang
16.047079,108.206230,DaNang
12.687344,108.054848,DakLak
12.264648,107.609809,DakNong
21.385051,103.018882,DienBien
10.962223,106.856594,DongNai
10.473595,105.635798,DongThap
13.989244,108.001688,GiaLai
22.752027,104.976277,HaGiang
20.583523,105.922989,HaNam
18.342812,105.905121,HaTinh
21.028511,105.804817,HaNoi
20.940990,106.333674,HaiDuong
20.844911,106.688084,HaiPhong
9.784821,105.470302,HauGiang
20.832477,105.337593,HoaBinh
10.823099,106.629662,HoChiMinh
20.646089,106.051191,HungYen
12.245070,109.194323,KhanhHoa
10.012521,105.080921,KienGiang
14.350350,108.000000,KonTum
22.395879,103.470652,LaiChau
11.940419,108.458313,LamDong
21.853708,106.761520,LangSon
22.338089,103.840504,LaoCai
10.695572,106.246423,LongAn
20.438822,106.162105,NamDinh
18.665600,105.669755,NgheAn
20.251277,105.974453,NinhBinh
11.567499,108.988026,NinhThuan
21.322510,105.210940,PhuTho
13.088189,109.092876,PhuYen
17.469419,106.622648,QuangBinh
15.879440,108.335091,QuangNam
15.121596,108.792089,QuangNgai
20.959015,107.058072,QuangNinh
16.817953,107.129730,QuangTri
9.603937,105.980343,SocTrang
21.325580,103.918824,SonLa
11.335725,106.128122,TayNinh
20.446347,106.336582,ThaiBinh
21.593708,105.839874,ThaiNguyen
19.807959,105.776888,ThanhHoa
16.463713,107.590866,ThuaThienHue
10.449332,106.343887,TienGiang
9.934850,106.345554,TraVinh
21.823832,105.214070,TuyenQuang
10.253849,105.972103,VinhLong
21.308095,105.604217,VinhPhuc
21.724742,104.899280,YenBai
